Designator,Footprint,Quantity,Value,LCSC Part #
"C1_6, C1_5, C1_4, C1_3, C1_2, C1, C2_6, C2_5, C2_4, C2_3, C2_2, C2, C3_6, C3_5, C3_4, C3_3, C3_2, C3, C4_6, C4_5, C4_4, C4_3, C4_2, C4",0603,24,100nF,
"D1_6, D1_5, D1_4, D1_3, D1_2, D1, D10_6, D10_5, D10_4, D10_3, D10_2, D10, D11_6, D11_5, D11_4, D11_3, D11_2, D11, D12_6, D12_5, D12_4, D12_3, D12_2, D12, D2_6, D2_5, D2_4, D2_3, D2_2, D2, D3_6, D3_5, D3_4, D3_3, D3_2, D3, D4_6, D4_5, D4_4, D4_3, D4_2, D4, D5_6, D5_5, D5_4, D5_3, D5_2, D5, D6_6, D6_5, D6_4, D6_3, D6_2, D6, D7_6, D7_5, D7_4, D7_3, D7_2, D7, D8_6, D8_5, D8_4, D8_3, D8_2, D8, D9_6, D9_5, D9_4, D9_3, D9_2, D9",0603,72,LED,
"J1_6, J1_5, J1_4, J1_3, J1_2, J1",JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,6,Conn,
"R1_6, R1_5, R1_4, R1_3, R1_2, R1, R2_6, R2_5, R2_4, R2_3, R2_2, R2, R3_6, R3_5, R3_4, R3_3, R3_2, R3",0603,18,100kΩ,
"R10_6, R10_5, R10_4, R10_3, R10_2, R10, R11_6, R11_5, R11_4, R11_3, R11_2, R11, R12_6, R12_5, R12_4, R12_3, R12_2, R12, R13_6, R13_5, R13_4, R13_3, R13_2, R13, R14_6, R14_5, R14_4, R14_3, R14_2, R14, R15_6, R15_5, R15_4, R15_3, R15_2, R15, R16_6, R16_5, R16_4, R16_3, R16_2, R16, R17_6, R17_5, R17_4, R17_3, R17_2, R17, R18_6, R18_5, R18_4, R18_3, R18_2, R18, R19_6, R19_5, R19_4, R19_3, R19_2, R19, R20_6, R20_5, R20_4, R20_3, R20_2, R20, R9_6, R9_5, R9_4, R9_3, R9_2, R9",0603,72,1k,
"R4_6, R4_5, R4_4, R4_3, R4_2, R4, R5_6, R5_5, R5_4, R5_3, R5_2, R5, R6_6, R6_5, R6_4, R6_3, R6_2, R6",0603,18,10kΩ,
"R7_6, R7_5, R7_4, R7_3, R7_2, R7, R8_6, R8_5, R8_4, R8_3, R8_2, R8",0603,12,∞,
"SW1_6, SW1_5, SW1_4, SW1_3, SW1_2, SW1",RotaryEncoder_Bourns_Vertical_PEC12R-3x17F-Sxxxx,6,RotaryEncoder_Switch,
"U2_6, U2_5, U2_4, U2_3, U2_2, U2",TSSOP-20_4.4x6.5mm_P0.65mm,6,CH32V003FxPx,
