Designator,Mid X,Mid Y,Rotation,Layer
R15_3,54.9316,-78.478,0.0,bottom
R15_2,22.6816,-42.418,0.0,bottom
R15,22.6816,-78.478,0.0,bottom
R16_6,87.1816,-45.212,0.0,bottom
R16_5,87.1816,-81.272,0.0,bottom
R16_4,54.9316,-45.212,0.0,bottom
R16_3,54.9316,-81.272,0.0,bottom
R16_2,22.6816,-45.212,0.0,bottom
R16,22.6816,-81.272,0.0,bottom
R17_6,87.1816,-48.006,0.0,bottom
R17_5,87.1816,-84.066,0.0,bottom
R17_4,54.9316,-48.006,0.0,bottom
R17_3,54.9316,-84.066,0.0,bottom
R17_2,22.6816,-48.006,0.0,bottom
R17,22.6816,-84.066,0.0,bottom
R18_6,87.1816,-50.8,0.0,bottom
R18_5,87.1816,-86.86,0.0,bottom
R18_4,54.9316,-50.8,0.0,bottom
R18_3,54.9316,-86.86,0.0,bottom
R18_2,22.6816,-50.8,0.0,bottom
R18,22.6816,-86.86,0.0,bottom
R19_6,87.1816,-53.594,0.0,bottom
R19_5,87.1816,-89.654,0.0,bottom
R19_4,54.9316,-53.594,0.0,bottom
R19_3,54.9316,-89.654,0.0,bottom
R19_2,22.6816,-53.594,0.0,bottom
R19,22.6816,-89.654,0.0,bottom
R2_6,113.6565,-52.6125,270.0,top
R2_5,113.6565,-88.6725,270.0,top
R2_4,81.4065,-52.6125,270.0,top
R2_3,81.4065,-88.6725,270.0,top
R2_2,49.1565,-52.6125,270.0,top
R2,49.1565,-88.6725,270.0,top
R20_6,87.1816,-56.388,0.0,bottom
R20_5,87.1816,-92.448,0.0,bottom
R20_4,54.9316,-56.388,0.0,bottom
R20_3,54.9316,-92.448,0.0,bottom
R20_2,22.6816,-56.388,0.0,bottom
R20,22.6816,-92.448,0.0,bottom
R3_6,113.6565,-48.8025,90.0,top
R3_5,113.6565,-84.8625,90.0,top
R3_4,81.4065,-48.8025,90.0,top
R3_3,81.4065,-84.8625,90.0,top
R3_2,49.1565,-48.8025,90.0,top
R3,49.1565,-84.8625,90.0,top
R4_6,112.744,-44.334,0.0,top
R4_5,112.744,-80.394,0.0,top
R4_4,80.494,-44.334,0.0,top
R4_3,80.494,-80.394,0.0,top
R4_2,48.244,-44.334,0.0,top
R4,48.244,-80.394,0.0,top
R5_6,112.744,-34.682,0.0,top
R5_5,112.744,-70.742,0.0,top
R5_4,80.494,-34.682,0.0,top
R5_3,80.494,-70.742,0.0,top
R5_2,48.244,-34.682,0.0,top
R5,48.244,-70.742,0.0,top
R6_6,94.0985,-37.8335,270.0,top
R6_5,94.0985,-73.8935,270.0,top
R6_4,61.8485,-37.8335,270.0,top
R6_3,61.8485,-73.8935,270.0,top
R6_2,29.5985,-37.8335,270.0,top
R6,29.5985,-73.8935,270.0,top
R7_6,98.012,-45.096,0.0,top
R7_5,98.012,-81.156,0.0,top
R7_4,65.762,-45.096,0.0,top
R7_3,65.762,-81.156,0.0,top
R7_2,33.512,-45.096,0.0,top
R7,33.512,-81.156,0.0,top
R8_6,107.918,-45.096,180.0,top
R8_5,107.918,-81.156,180.0,top
R8_4,75.668,-45.096,180.0,top
R8_3,75.668,-81.156,180.0,top
R8_2,43.418,-45.096,180.0,top
